image,description,keywords
01568_mask.png,"A woman wearing a headscarf is positioned in front of a large government building with a dome, resembling the capitol.","woman, headscarf, government building, dome, capitol, politics, architecture"
01569_mask.png,"Two women are in a kitchen, with one holding a knife and the other smiling, possibly preparing a meal together.","kitchen, two women, knife, smiling, meal preparation"
01576_mask.png,The image shows two separate scenes featuring a man in the process of jumping off a cliff.,"man, jumping, cliff, two pictures, outdoor, scene"
01578_mask.png,Several people are gathered and engaging in recreational activities in a body of water.,"people, group, water, recreation, outdoors, activity"
01579_mask.png,"A woman is wearing a scarf with red, white, and blue colors, which may resemble the American flag.","woman, scarf, red, white, blue, American flag, headscarf"
01589_mask.png,"A woman is seated in a chair, holding a microphone close to her face while speaking.","woman, chair, microphone, speaking, seated"
01598_mask.png,A dog is sitting on a black leather chair that is covered with pieces of paper scattered around.,"dog, black leather chair, paper, sitting, indoor, scattered, furniture"
01627_mask.png,"A person is positioned on top of a cross suspended in the sky, with clouds visible in the background.","person, cross, sky, clouds, suspension, elevation"
01634_mask.png,"A man is closely interacting with a sheep, appearing to be engaged in the process of shearing or cleaning its wool.","man, sheep, shearing, wool, processing, interaction, animal, farm, cleaning"
01637_mask.png,"A standard metal stapler is positioned on a plain white background, clearly displayed with no additional objects in the scene.","stapler, metal, stationery, white background, office supply"
01642_mask.png,"A man wearing glasses is smiling directly at the camera, appearing friendly and approachable.","man, glasses, smiling, camera, friendly, approachable"
01643_mask.png,"A man and a young boy are brushing their teeth together, both holding toothbrushes and standing close to each other, likely in a bathroom setting.","man, boy, brushing teeth, toothbrush, bathroom, together, hygiene"
01649_mask.png,"A man dressed in a formal suit and tie, likely posing for a photograph with a serious expression.","man, suit, tie, formal, photograph, serious expression"
01653_mask.png,"A woman is holding a black cat in her arms, and both appear to be indoors with a neutral background.","woman, black cat, arms, indoors, neutral background"
01658_mask.png,The image consists of three separate photographs featuring a woman with brown hair and blue eyes.,"woman, brown hair, blue eyes, three photos, portrait"
01672_mask.png,"A man wearing a blue jacket is holding a gun, possibly preparing for an action, with a focused expression.","man, blue jacket, gun, focused, preparation, action"
01682_mask.png,A person is holding a piece of raw pork on a cutting board.,"person, pork, cutting board, meat, raw"
01694_mask.png,"Several men are gathered near a group of horses, appearing to discuss or consider which horse to select.","men, horses, group, discussion, selection, herd"
01698_mask.png,A woman wearing a pink shirt is next to a Black man with a beard.,"woman, pink shirt, Black man, beard, two people"
01726_mask.png,"A person is lying on a bed with their feet resting on the bed, visible from the perspective above the bed.","person, bed, feet, lying, resting, indoor, perspective"
01734_mask.png,A cartoon illustration shows a man and a woman engaged in conversation.,"cartoon, man, woman, conversation, illustration"
01736_mask.png,"Several coffins are arranged in a row, each draped with an American flag, in a solemn setting.","coffins, American flags, row, solemn, draped, military, ceremony"
01742_mask.png,"A man is sitting at a desk with his hands behind his head, appearing relaxed yet possibly contemplating time or work, with no other people present in the scene.","man, desk, sitting, hands behind head, relaxed, contemplative, indoor, alone, office"
01743_mask.png,"A middle-aged man smiling at the camera, dressed in formal attire, with a neutral indoor background.","man, smiling, middle-aged, formal attire, indoor, camera, portrait"
01746_mask.png,"A young girl is gently holding a smaller child, both showing calm and affectionate expressions.","girl, child, holding, affection, gentle, young, calm, expressions"
01749_mask.png,"A group of people are sitting closely together, appearing to be engaged in conversation.","group, people, sitting, conversation, together"
01756_mask.png,A woman is running quickly on a track with a crowd of spectators in the background.,"woman, running, track, crowd, spectators, speed, athlete"
01763_mask.png,"A person is using a mop to clean a wooden floor, likely preparing to spin the mop as suggested.","person, mop, cleaning, wooden floor, spin, housework"
01765_mask.png,A man dressed in an orange shirt is holding a cellphone in his hand.,"man, orange shirt, cellphone, holding, male, clothing"
01793_mask.png,A black and white photograph showing a person wearing a gas mask.,"black and white, photograph, person, gas mask, old photo"
01794_mask.png,A man with a beard wearing a black shirt is present in the image.,"man, beard, black shirt, male, portrait"
01796_mask.png,"Two women are depicted close together in front of a brick wall, one appearing to kiss the other.","women, brick wall, kiss, close together, front"
01823_mask.png,"The image shows a close-up of an adult man with a beard, facing the camera.","man, beard, close-up, adult, face"
01827_mask.png,"A dog is interacting with a piece of wood on a dirt or earthy surface, appearing to play or engage with the item.","dog, piece of wood, dirt, playing, earthy surface"
01829_mask.png,"A man wearing a black shirt is raising his hands, possibly in surprise or confusion, indoors.","man, black shirt, hands up, indoors, surprise, confusion"
01835_mask.png,"A woman is seated at a dining table, looking at a plate of food in front of her.","woman, table, plate, food, dining, seated, indoor, meal"
01836_mask.png,The image is an old black and white photograph featuring a man dressed formally in a suit.,"black and white, photograph, man, suit, formal, old, vintage"
01842_mask.png,"Two images show a dog with a long, slender body, likely a dachshund mix, looking up toward the camera against a simple background.","dog, dachshund, pet, canine, camera, animal, portrait, slender, long body"
01845_mask.png,"A heavyset woman is sitting in shallow water at the beach, with waves around her and sand visible.","woman, beach, water, waves, sand, sitting, fat, outdoors"
01854_mask.png,An Indian person walking with their dog in front of a building.,"Indian, person, dog, walking, building, outdoor, companion, urban, daytime"
01865_mask.png,"A young woman with long blonde hair is at the beach, with the ocean and sand visible around her. She appears to have light skin and is likely of European descent.","woman, blonde hair, beach, ocean, sand, light skin, European descent, young woman"
01875_mask.png,"Three people are walking together on a sidewalk in an urban setting, each carrying shopping bags in their hands.","three people, sidewalk, urban, shopping bags, walking, group, outdoors"
01892_mask.png,A man who appears to be Barack Obama is in front of the White House.,"Barack Obama, man, White House, president, building"
01894_mask.png,A woman is gazing out of a window with her hand resting thoughtfully on her face.,"woman, window, gazing, thoughtful, hand on face"
01896_mask.png,"A man wearing a suit is present in the foreground, while a cityscape stretches out behind him.","man, suit, cityscape, urban, background, foreground, male, buildings"
01924_mask.png,"A group of young women are holding protest signs and raising their voices toward the camera, appearing to participate in a public demonstration.","women, group, protest, signs, demonstration, shouting, public, activism"
01925_mask.png,A woman is sitting at a table with a cup of coffee in front of her.,"woman, table, coffee, sitting, cup"
01936_mask.png,"The image shows an aerial view of a modern city featuring numerous tall buildings clustered together, with streets and infrastructure visible between them.","aerial view, city, tall buildings, urban, infrastructure, streets, modern, architecture"
01937_mask.png,"Two children are sitting together on the floor, actively playing with wooden blocks.","children, playing, wooden blocks, floor, together, sitting, activity"
01943_mask.png,A black and white photo shows a man holding a microphone while speaking.,"black and white, man, microphone, speaking, photo"
01953_mask.png,The image shows a dinosaur standing on a red carpet.,"dinosaur, red carpet, standing, animal, event"
01954_mask.png,A woman wearing a red dress is positioned near a wall.,"woman, red dress, wall, female, clothing"
01956_mask.png,A crocodile is playing with a red ball.,"crocodile, red ball, animal, play, reptile"
01962_mask.png,"A baby orangutan is sitting on a rock, with a natural background and visible facial features.","baby orangutan, rock, nature, animal, facial features"
01967_mask.png,"A man is outdoors holding an object aloft in a field, with visible flames and smoke present in the scene.","man, field, flames, smoke, outdoors, object, fire"
01972_mask.png,"An orange cat is sitting on the ground, looking towards the viewer.","orange cat, cat, sitting, ground, pet, looking, viewer"
01974_mask.png,A man is examining a map that features a prominent red ball located centrally.,"man, map, red ball, examining, central position"
01975_mask.png,"A young boy gently holds a baby goat while standing on a dirt road in a rural area, with natural surroundings visible.","young boy, baby goat, dirt road, rural, holding, natural surroundings"
02139_mask.png,A woman wearing a white dress poses elegantly in front of a red carpet backdrop.,"woman, white dress, red carpet, elegant, fashion, formal, posing"
02143_mask.png,"A man with a long beard is shown, appearing unkempt, with a serious expression, dressed in plain clothing.","man, long beard, unkempt appearance, serious expression, plain clothing"
02145_mask.png,"An overhead view of a dining table set for a meal, featuring several plates, bowls, and utensils arranged neatly.","overhead view, dining table, plates, bowls, utensils, meal, arranged"
02146_mask.png,Several birds are perched together on a wooden branch against a neutral background.,"birds, perched, wooden branch, group, neutral background"
02153_mask.png,"A green stuffed animal is placed on a red carpet, appearing to sit upright and isolated.","green, stuffed animal, red carpet, upright, isolated"
02156_mask.png,"A woman is seen gently holding a child in her arms, displaying a close and caring bond between them.","woman, child, holding, arms, care, relationship, bond, gentle"
02157_mask.png,A goat is facing the camera and appears to be looking directly at it.,"goat, animal, camera, looking, facing"
02158_mask.png,"A chicken is shown against a plain white background, appearing isolated and clearly visible.","chicken, white background, isolated, animal, bird"
02165_mask.png,"A man wearing a white shirt is holding a phone to his ear, appearing to be engaged in a conversation.","man, white shirt, phone, conversation, talking"
02168_mask.png,"A man wearing a black shirt is holding a microphone, appearing to speak or address an audience.","man, black shirt, microphone, speaking, addressing, audience"
02169_mask.png,"An Asian woman is covering her forehead above her eyes with one hand, possibly to block light or see more clearly.","Asian woman, forehead, hand, eyes, see clearly, blocking light"
02185_mask.png,"A woman dressed in black and pink is riding a purple horse, outdoors, with the horse in motion.","woman, black, pink, purple horse, riding, outdoors, motion"
02194_mask.png,"A man is walking along a street while carefully holding a small, healthy baby goat in his arms.","man, street, baby goat, walking, holding, healthy animal"
02315_mask.png,"A man dressed formally in a suit and tie is positioned in front of several flags, suggesting an official or formal setting.","man, suit, tie, flags, formal, official, setting"
02316_mask.png,A man wearing a black shirt and blue jeans is making a thumbs-up gesture.,"man, black shirt, blue jeans, thumbs-up, gesture"
02317_mask.png,"A man is on a stage, raising both hands, with a projection or display behind him containing bold, profane, and politically charged text.","man, stage, hands raised, political, profanity, projection, text, expression"
02351_mask.png,"A yellow sign is attached to a pole, standing against a clear blue sky background.","yellow sign, pole, blue sky, outdoor, signage"
02356_mask.png,"Several men are gathered outside near a building, appearing to interact or converse with one another.","men, group, building, outside, gathered, interaction, conversation"
02358_mask.png,"A doll with a smiling face is prominently displayed in the image, appearing cheerful as it faces the camera.","doll, smiling, face, camera, cheerful, displayed"
02364_mask.png,"A man wearing a kippah sits in his shop, which has a wall covered with photographs or pictures.","man, kippah, shop, wall, photographs, pictures, Jewish, Tehran"
02365_mask.png,"A man wearing sunglasses is holding two pistols, with both guns clearly visible in his hands.","man, sunglasses, two pistols, guns, holding"
02367_mask.png,"A person is positioned near a red Dodge truck, visible from the front.","person, red truck, Dodge, vehicle front, automobile"
02371_mask.png,"Two people are seated at a table, each positioned in front of a microphone, possibly engaged in a conversation or interview.","people, table, microphone, seated, conversation, interview, two, indoors"
02374_mask.png,"A man is sitting on a red chair, holding a cigarette in his mouth, appearing relaxed.","man, red chair, cigarette, sitting, relaxed"
02381_mask.png,"A young boy with a shaved head is looking directly at the camera, with visible dental braces on his teeth.","boy, shaved head, braces, teeth, looking at camera, portrait, youth"
02384_mask.png,A woman is standing next to a purple sports car in an outdoor setting.,"woman, purple, sports car, outdoor, standing, vehicle, car, person"
02385_mask.png,"A man is riding a motorcycle, and a dog is sitting comfortably in a basket attached to the motorcycle.","man, motorcycle, dog, basket, riding, transportation, animal, human-animal interaction"
02389_mask.png,"Two women are present at a podium, engaged in conversation with each other, while other people are nearby.","women, podium, conversation, people, event, audience"
02413_mask.png,"The image shows a close-up of a woman's face displaying visible bruises, with a serious expression.","woman, face, bruises, close-up, serious expression, injury, female, violence"
02416_mask.png,"Two people are seated on the ground near a pond, appearing to be engaged in a casual conversation in an outdoor setting.","two people, seated, ground, pond, outdoors, conversation"
02431_mask.png,"A man and a woman are together in a kitchen, engaged in preparing food, with various kitchen utensils and ingredients visible around them.","man, woman, kitchen, food preparation, cooking, utensils, ingredients"
02435_mask.png,A young boy is playing with a small spinning toy on a playground.,"boy, spinning toy, playground, child, outdoors, toy, play"
02439_mask.png,"A woman wearing a superhero costume is sitting on a bus seat, surrounded by other passengers.","woman, superhero costume, bus, sitting, passengers"
02456_mask.png,"A man dressed in a military uniform is holding a rifle, with a serious expression on his face.","man, military uniform, rifle, soldier, serious expression, weapon, army, military, male"
02457_mask.png,"A person dressed in a white outfit is holding up one hand, possibly offering something or gesturing, with their face partially visible.","person, white costume, hand up, gesture, offering, partially visible face"
02459_mask.png,"A woman is washing her hands at a kitchen sink, with a dishwasher visible nearby.","woman, kitchen, sink, washing hands, dishwasher, appliance, interior"
02461_mask.png,A man dressed in a suit and tie is holding an American flag.,"man, suit, tie, American flag, holding, formal attire"
02467_mask.png,"A man is on a stage facing an audience, likely presenting or discussing a topic related to the cost of a hologram.","man, stage, audience, presentation, hologram, cost, discussion"
02471_mask.png,"A young girl sits on a chair beside a large gorilla, both positioned next to each other, with the gorilla exhibiting a calm demeanor.","girl, chair, gorilla, sitting, calm, large, next to, young"
02475_mask.png,"Several children and a dog are present together in what appears to be a library setting, surrounded by bookshelves and reading materials.","children, dog, library, bookshelves, reading, group, indoor, therapy animal"
02476_mask.png,A woman is walking through a field while carrying a basket.,"woman, field, walking, basket, outdoors"
02478_mask.png,Two men in formal attire are greeting each other in a professional setting.,"two men, formal attire, greeting, professional setting, handshake"
02481_mask.png,A dog is depicted with a firearm inside its mouth.,"dog, firearm, mouth, animal, violence, danger, weapon"
02483_mask.png,A large container ship is floating on the open ocean under clear skies.,"container ship, ocean, ship, open sea, clear skies"
02485_mask.png,A man wearing a black shirt and a blue jacket is present in the image.,"man, black shirt, blue jacket, male, clothing, person, outfit"
02497_mask.png,"A man wearing a black leather jacket and a hat is present in the image, appearing to embody a rebellious or unconventional persona.","man, black leather jacket, hat, rebellious, unconventional, portrait"
02514_mask.png,"A spacious and modern kitchen area featuring ample countertop space, with a clean and organized appearance.","kitchen, counter space, modern, spacious, clean, organized"
02518_mask.png,A woman is holding a small dog closely in her arms.,"woman, small dog, holding, arms, close interaction"
02519_mask.png,A man wearing a suit and hat is facing the camera and pointing his finger towards it.,"man, suit, hat, pointing, camera, finger, facing, clothing"
02536_mask.png,"A cross is lying in the grass near a parked car, symbolizing a memorial or warning.","cross, grass, car, memorial, warning"
02537_mask.png,"A man dressed formally in a suit and tie stands beside a boat, appearing serious.","man, suit, tie, boat, formal, serious"
02538_mask.png,"A woman wearing underwear is running through a room, with a playful or energetic demeanor.","woman, underwear, room, running, playful, indoors"
02543_mask.png,A woman with red hair and a man with black hair are present together in the image.,"woman, red hair, man, black hair, together"
02548_mask.png,"A small bird is sitting on a tree branch, facing toward the camera.","bird, tree branch, small, perched, facing camera"
02561_mask.png,"A young boy is positioned in front of an American flag, facing the camera with a neutral expression.","boy, American flag, child, portrait, flag background"
02568_mask.png,"A man is pointing at the camera and holding his fingers up in the air, making a gesture.","man, pointing, camera, fingers, gesture"
02571_mask.png,"A woman dressed in black and a man in a suit are together, possibly participating in a formal or professional event.","woman, black dress, man, suit, formal, interview, professional, together"
02576_mask.png,"A close-up view of a yellow snake with its mouth open, positioned on a branch, revealing the details inside its mouth.","yellow snake, mouth open, branch, close-up, snake, detailed view"
02581_mask.png,"A woman wearing shorts is holding a gun and directly facing the camera, with a tense and serious expression.","woman, shorts, gun, camera, serious expression, tense, holding"
02584_mask.png,"An illustration depicts a Jewish man sitting on a bench, visibly holding a menorah in his hands, suggesting a focus on Jewish cultural or religious symbolism.","Jewish man, bench, menorah, illustration, cultural symbolism"
02594_mask.png,A goat is standing close to a cell phone placed on a flat surface.,"goat, cell phone, standing, flat surface, animal"
02613_mask.png,"Two people are lying on a red couch in a living room, appearing exhausted after an intimate encounter.","two people, red couch, living room, lying down, exhausted, intimate encounter"
02614_mask.png,A Black man and a White man are sitting together in the back seat of a car.,"Black man, White man, car, back seat, sitting, interracial, two people"
02631_mask.png,A woman with long hair is shown with her hair being blown by the wind.,"woman, long hair, wind, hair blowing, outdoors"
02634_mask.png,"A young girl is lying on the grass in a park, appearing relaxed amidst a natural outdoor setting.","girl, grass, park, lying, outdoors, nature, relaxed"
02647_mask.png,"A man dressed in a suit and tie is present in front of a group of people, suggesting a formal or public setting.","man, suit, tie, crowd, group, formal, public, people"
02649_mask.png,"A baby is peacefully sleeping on a soft purple blanket, surrounded by straw in a woven basket.","baby, sleeping, purple blanket, basket, straw, peaceful, soft, woven"
02653_mask.png,"A snow-covered street runs parallel to a body of water, with buildings visible along the shoreline in a cold, winter setting.","snow, street, body of water, buildings, shoreline, winter, cold, urban, architecture"
02654_mask.png,A woman in a green dress is holding a microphone.,"woman, green dress, microphone, holding, female, clothing, event"
02657_mask.png,"A woman is sitting inside a shopping cart, possibly in a store setting.","woman, shopping cart, store, sitting, indoor, shopping, cart"
02674_mask.png,"An Asian woman is seated on a chair placed next to a car, outdoors, during the day.","Asian woman, chair, car, outdoors, daytime"
02687_mask.png,A single sock is hanging from a doorknob attached to a wooden door.,"sock, doorknob, door, wooden, hanging"
02691_mask.png,"A man wearing a striped shirt is present near a field, appearing to demonstrate or interact with others, possibly engaging in an educational outdoor activity.","man, striped shirt, field, outdoor, demonstration, education, group, teaching"
02716_mask.png,"A man wearing a white shirt is depicted with his hands together in a prayerful gesture, looking peaceful and contemplative.","man, white shirt, praying, hands together, peaceful, contemplative, gesture"
02718_mask.png,"A young boy is lying unconscious on the kitchen floor, next to kitchen appliances and cabinets, with subdued lighting.","boy, kitchen, floor, unconscious, child, appliances, cabinets, interior, home, lying"
02719_mask.png,"A close-up image of a gorilla with its mouth open, displaying a strong facial expression.","gorilla, close-up, mouth open, facial expression, animal"
02735_mask.png,"The image shows the word 'anxiety' written in large letters on a plain white background, with each letter possibly representing a different mental disorder.","anxiety, letters, mental disorders, white background, word"
02751_mask.png,The image shows a wintry landscape with snow-covered trees surrounding a partially frozen pond.,"snow, trees, pond, winter, landscape, frozen, nature"
02761_mask.png,"A man with his mouth open is looking upward, showing an expressive facial reaction.","man, mouth open, looking up, facial expression, emotion"
02763_mask.png,A group of individuals is holding American flags.,"group, individuals, American flags, people, flag holding"
02764_mask.png,"A person is holding a piece of paper near the entrance of a white building, with focus on the interaction and the document.","person, paper, white building, entrance, document, outdoors"
02768_mask.png,A man is sitting on a concrete bench outdoors with a snowboard placed next to him.,"man, concrete bench, snowboard, outdoors, sitting"
02769_mask.png,A poster features a man wearing a hat and holding a donut wrapped in bacon.,"poster, man, hat, donut, bacon, food, holding, wrapping"
02783_mask.png,"The image shows several old-fashioned tractors grouped together outdoors, surrounded by natural vegetation.","tractors, outdoors, vintage, group, vegetation, old-fashioned"
02789_mask.png,"A man wearing a pink shirt is holding a cell phone, looking alert and attentive.","man, pink shirt, cell phone, alert, attentive, person, male, technology"
02793_mask.png,"A man is sitting in a small boat floating on the water, with a calm water surface visible around him.","man, boat, sitting, water, calm, floating"
02795_mask.png,"A man and a woman are shaking hands in a classroom setting, with other people present, likely as part of an official ceremony.","man, woman, shaking hands, classroom, ceremony, people, official"
02814_mask.png,A woman wearing a white shirt and glasses is holding a piece of paper and appears to be looking forward.,"woman, white shirt, glasses, piece of paper, holding, looking forward"
02815_mask.png,"A white plate holds a cooked egg that has been broken in half, with the egg white and yolk visibly separated.","egg, plate, yolk, white, broken, separated, food, cooked"
02816_mask.png,"A young girl is in a swimming pool, partially submerged in water, with a flower held in her mouth, appearing to be in distress.","girl, swimming pool, flower, water, distress, submerged, young girl"
02831_mask.png,"A group of people are gathered on a boat floating on the ocean, with the water stretching into the distance under a clear sky.","boat, ocean, group of people, water, sky"
02841_mask.png,A man dressed in a suit and tie is positioned in front of a large poster.,"man, suit, tie, poster, formal, male, portrait"
02845_mask.png,"A monkey is sitting on a wooden log and is holding a piece of food, appearing to eat it.","monkey, log, food, sitting, eating, animal, wildlife"
02846_mask.png,"An aerial photograph shows a cityscape taken from above, capturing buildings, streets, and various urban features in clear detail.","aerial view, cityscape, urban, buildings, streets, photograph, above, helicopter, architecture"
02849_mask.png,"A person wearing a white shirt is singing into a microphone, likely performing music.","person, white shirt, microphone, singing, music, performance"
02853_mask.png,"A man wearing a white shirt is positioned in front of an urban cityscape, with modern buildings visible in the background.","man, white shirt, cityscape, urban, buildings, background"
02854_mask.png,The image shows a bearded man wearing a checkered shirt.,"man, beard, checkered shirt, male, person"
02857_mask.png,A man with a beard and glasses is positioned in front of a pink background.,"man, beard, glasses, pink background, portrait"
02863_mask.png,"Two men are positioned side by side, both of whom appear to be white.","two men, side by side, white men, pair, male, portrait"
02867_mask.png,"A man is positioned in front of a plain white wall, possibly in an indoor setting.","man, white wall, indoor, plain background, adult"
02876_mask.png,A young boy is drinking a beverage from a plastic cup outdoors.,"boy, child, drinking, plastic cup, beverage, outdoors"
02891_mask.png,"A woman is wearing a green headscarf, and in the scene there appears to be a blow-up doll present.","woman, green headscarf, blow-up doll, scene, present"
02894_mask.png,A bearded man facing the camera with a neutral expression.,"man, beard, camera, neutral expression, facing forward"
02914_mask.png,"A young boy is swimming in a sunlit outdoor pool, surrounded by clear blue water.","boy, swimming, pool, sunlight, outdoor, water, summer"
02917_mask.png,Several soldiers are walking together through an open doorway in what appears to be a structured or built environment.,"soldiers, group, doorway, walking, structured environment"
02918_mask.png,"A man in a green jacket, surrounded by a group of people, is holding a gun in his hand.","man, green jacket, gun, group, people, surrounded, followers"
